corpus	mode	pattern	constraints	kappa	windows	expected	observed_eq	obs_distinct	obs_strict	ratio	top_matches
finnish_bible	sigma:1	#M	3	0.04111	3346714	232.5	186	151	91	0.800	iseonkirjo×18; arinherral×8; istavatsin×8; hollisenis×5; astuialass×4
finnish_bible	sigma:1	#M-	2	0.04111	3346715	5656.1	5344	4971	1895	0.945	eidänjuma×400; ellaäänel×44; llesilloi×38; ttetietäm×37; teurastet×37
finnish_bible	sigma:1	#3	3	0.04111	3346711	232.5	283	190	25	1.217	sellepuolelle×23; sellapuolella×10; aminäolenheid×9; akappalettaku×8; njajaakobinja×5
finnish_bible	sigma:1	#3+	4	0.04111	3346708	9.6	11	6	1	1.151	sillänsätaisteli×1; stasorastajaesta×1; sistaperissiläis×1; änonrikkonutliit×1; sellapuolellaole×1
finnish_bible	sigma:1	#4	2	0.04111	3346709	5656.1	5992	5643	202	1.059	lkoisistapellav×28; anooherraherran×17; ameidänjumalaam×14; eltalännenpuole×14; sinuntodistuksi×12
finnish_bible	psum	#1	5	0.03571	3346706	0.2	0	0	0	0.000	
finnish_bible	psum	#C0	6	0.03571	3346700	0.0	0	0	0	0.000	
finnish_bible	psum	#C1	6	0.03571	3346698	0.0	0	0	0	0.000	
finnish_bible	psum	#2-	3	0.03571	3346699	152.5	204	187	0	1.338	kaikkikansakunnatmaanpääl×3; akaikensisälmystenrasvanj×3; ikaikkisukukunnatmaanpääl×2; meäsilläherraeijätärankai×2; vaaksanpituinenjavaaksanl×2
finnish_bible	psum	#2	5	0.03571	3346694	0.2	1	1	0	5.143	ittetehneetkunteittesitämikäon×1
finnish_bible	psum	#2+	7	0.03571	3346691	0.0	0	0	0	0.000	
finnish_bible	psum	#S	6	0.03571	3346693	0.0	0	0	0	0.000	
finnish_bible	psum	#F	5	0.03571	3346705	0.2	1	0	0	5.143	taankuulkaakaikkika×1
finnish_bible	psum	#M	3	0.03571	3346715	152.5	330	110	63	2.165	akaikkika×101; nkaikkika×31; tkaikkika×22; äkaikkika×20; ikaikkika×19
finnish_bible	psum	#M-	2	0.03571	3346716	4268.8	4743	4693	1109	1.111	kaikkimi×251; inäherra×128; akaikkik×124; dänherra×81; nutherra×77
finnish_bible	psum	#3	3	0.03571	3346712	152.5	166	103	16	1.089	ssaanolikaks×14; ulleethänenä×5; maanpaikkaan×5; nlainarkinet×4; taansotimaan×4
finnish_bible	psum	#3+	4	0.03571	3346709	5.4	1	1	0	0.184	puhtaillakäsill×1
finnish_bible	psum	#4	2	0.03571	3346710	4268.8	4113	3994	61	0.964	takaksikymment×29; aakaksikymment×23; vastaanjasanoi×22; ankäskynhaltij×20; minunpuolestan×19
finnish_bible	bigram:1	#1	5	0.00795	3346705	0.0	0	0	0	0.000	
finnish_bible	bigram:1	#C0	6	0.00795	3346699	0.0	0	0	0	0.000	
finnish_bible	bigram:1	#C1	6	0.00795	3346697	0.0	0	0	0	0.000	
finnish_bible	bigram:1	#2-	3	0.00795	3346698	1.7	1	0	0	0.595	inkuinmeribassaniinkuinmas×1
finnish_bible	bigram:1	#2	5	0.00795	3346693	0.0	0	0	0	0.000	
finnish_bible	bigram:1	#2+	7	0.00795	3346690	0.0	0	0	0	0.000	
finnish_bible	bigram:1	#S	6	0.00795	3346692	0.0	0	0	0	0.000	
finnish_bible	bigram:1	#F	5	0.00795	3346704	0.0	0	0	0	0.000	
finnish_bible	bigram:1	#M	3	0.00795	3346714	1.7	1	1	0	0.595	illallaill×1
finnish_bible	bigram:1	#M-	2	0.00795	3346715	211.5	192	189	151	0.908	valallava×24; inunkunin×17; enkeskeen×7; enikaiken×6; taasiasta×5
finnish_bible	bigram:1	#3	3	0.00795	3346711	1.7	1	1	0	0.595	ttätekestätte×1
finnish_bible	bigram:1	#3+	4	0.00795	3346708	0.0	0	0	0	0.000	
finnish_bible	bigram:1	#4	2	0.00795	3346709	211.5	142	140	83	0.672	jasanansaattaja×8; tajapappipoltta×5; hrejajaruokauhr×4; elisasanoihänel×4; jumalallemikäju×3
karelian_livvi	direct	#1	5	0.06271	1534681	1.5	2	0	0	1.344	annaioannovnuavena×1; tyksesmanganumanat×1
karelian_livvi	direct	#C0	6	0.06271	1534675	0.1	0	0	0	0.000	
karelian_livvi	direct	#C1	6	0.06271	1534673	0.1	0	0	0	0.000	
karelian_livvi	direct	#2-	3	0.06271	1534674	378.5	314	202	0	0.830	itriimendelejevanalguaine×10; iäpöidysärgiisiiguahaugii×3; llaeliballaadejasaimaalta×3; nroinnuheskevätkuuduvuvve×2; isesijaiččoukymrinmuansuu×2
karelian_livvi	direct	#2	5	0.06271	1534669	1.5	2	0	0	1.344	valamoisnovgorodahvalamoinmana×1; bdfdbddbddbdbedbddbdbbdcdbddbd×1
karelian_livvi	direct	#2+	7	0.06271	1534666	0.0	0	0	0	0.000	
karelian_livvi	direct	#S	6	0.06271	1534668	0.1	0	0	0	0.000	
karelian_livvi	direct	#F	5	0.06271	1534680	1.5	1	0	0	0.672	dbddbdbbdcdbddbdfdb×1
karelian_livvi	direct	#M	3	0.06271	1534690	378.5	420	315	178	1.110	nyhtehine×51; hanrunohu×27; ajattajat×15; nkielienl×7; usilaigua×7
karelian_livvi	direct	#M-	2	0.06271	1534691	6035.6	9198	6864	2329	1.524	alantaza×969; nduaruan×305; npiälinn×294; akarjala×211; inekieli×144
karelian_livvi	direct	#3	3	0.06271	1534687	378.5	545	258	24	1.440	anonieganran×49; ananuksenkan×43; stettuartist×12; aionsijoitan×12; jalazetkarja×5
karelian_livvi	direct	#3+	4	0.06271	1534684	23.7	33	17	0	1.390	anonieganrannan×2; lalaatokanlaula×2; varaaltoalvaraa×1; kovehenhokkeivo×1; duvenanluodehpu×1
karelian_livvi	direct	#4	2	0.06271	1534685	6035.6	6446	5049	26	1.068	antazavallaska×120; allananuksenka×43; antazavallanka×41; antazavallasla×41; arjalanrahvaha×36
karelian_livvi	delta:1	#1	5	0.03253	1534680	0.1	2	1	0	35.755	uhjoloinkeskehmečän×1; zienaigaholipuolove×1
karelian_livvi	delta:1	#C0	6	0.03253	1534674	0.0	0	0	0	0.000	
karelian_livvi	delta:1	#C1	6	0.03253	1534672	0.0	0	0	0	0.000	
karelian_livvi	delta:1	#2-	3	0.03253	1534673	52.8	56	46	0	1.060	uaiguakuuloiksedačuasuloik×1; arvetdakävyyniilöittähsula×1; kuikkujiäkuikkulibojiäguik×1; letarkoitetturunokirjusilm×1; oksenjohtajannuoliolgagorš×1
karelian_livvi	delta:1	#2	5	0.03253	1534668	0.1	0	0	0	0.000	
karelian_livvi	delta:1	#2+	7	0.03253	1534665	0.0	0	0	0	0.000	
karelian_livvi	delta:1	#S	6	0.03253	1534667	0.0	0	0	0	0.000	
karelian_livvi	delta:1	#F	5	0.03253	1534679	0.1	0	0	0	0.000	
karelian_livvi	delta:1	#M	3	0.03253	1534689	52.8	49	38	26	0.927	vehellizii×3; rgeiškolan×3; estouniesl×2; nuvvessahv×2; endettuenn×2
karelian_livvi	delta:1	#M-	2	0.03253	1534690	1624.4	1849	1758	1093	1.138	vuvvennut×79; nnikonpii×74; enanmeren×43; valmistam×41; rubeiruad×23
karelian_livvi	delta:1	#3	3	0.03253	1534686	52.8	54	41	11	1.022	nepalnepalnep×2; opastuuopastu×2; merivienanmer×2; riukiulazetki×2; llistuaihettu×1
karelian_livvi	delta:1	#3+	4	0.03253	1534683	1.7	5	4	1	2.908	vennuhänenvellen×1; järvisuurijänisj×1; oksisgaonvieolem×1; ddbdbbdcdbddbdfd×1; solncevorotpetro×1
karelian_livvi	delta:1	#4	2	0.03253	1534684	1624.4	1541	1450	137	0.949	piirineländykoh×19; nsyväinmuavaldi×14; anarvostetturua×14; uanruadajienper×11; hteiskunnallize×11
karelian_livvi	sigma:1	#1	5	0.03332	1534680	0.1	0	0	0	0.000	
karelian_livvi	sigma:1	#C0	6	0.03332	1534674	0.0	0	0	0	0.000	
karelian_livvi	sigma:1	#C1	6	0.03332	1534672	0.0	0	0	0	0.000	
karelian_livvi	sigma:1	#2-	3	0.03332	1534673	56.8	65	52	0	1.145	kuvauksiaskshelsinkiilmari×3; ksiaskshelsinkiilmarimanni×3; oalakeskiškolakultuurutalo×2; askusadrianmerendaionianme×1; llizesalguainehespäidaiain×1
karelian_livvi	sigma:1	#2	5	0.03332	1534668	0.1	0	0	0	0.000	
karelian_livvi	sigma:1	#2+	7	0.03332	1534665	0.0	0	0	0	0.000	
karelian_livvi	sigma:1	#S	6	0.03332	1534667	0.0	0	0	0	0.000	
karelian_livvi	sigma:1	#F	5	0.03332	1534679	0.1	0	0	0	0.000	
karelian_livvi	sigma:1	#M	3	0.03332	1534689	56.8	50	24	18	0.881	senjällest×14; eonkolmash×1; ilololoilo×1; dorekvador×1; čempionxkm×1
karelian_livvi	sigma:1	#M-	2	0.03332	1534690	1703.6	1655	1477	743	0.971	senjälles×64; tarkoitta×50; honkargav×37; laonkmpid×29; ienhiimie×25
karelian_livvi	sigma:1	#3	3	0.03332	1534686	56.8	98	71	16	1.727	uvuvvennuvuvv×8; eriazovanmeri×3; vonlinnanoupe×3; ahtavanmugaho×2; nvaldumerenvä×2
karelian_livvi	sigma:1	#3+	4	0.03332	1534683	1.9	4	2	1	2.115	eriazovanmerionm×1; viludakongopiäli×1; ronoumiionluonno×1; nasnapoleonanvas×1
karelian_livvi	sigma:1	#4	2	0.03332	1534684	1703.6	1759	1677	83	1.033	llizetkieletoll×40; guatapettuloinn×16; oliitonjoukkove×11; ikkelihniškoiki×11; olakultuurutalo×8
karelian_livvi	psum	#1	5	0.03030	1534681	0.0	0	0	0	0.000	
karelian_livvi	psum	#C0	6	0.03030	1534675	0.0	0	0	0	0.000	
karelian_livvi	psum	#C1	6	0.03030	1534673	0.0	0	0	0	0.000	
karelian_livvi	psum	#2-	3	0.03030	1534674	42.7	43	40	0	1.007	johätkenaigufiiziekasfiiz×1; sandrvasiljevičsuvorovale×1; mbantaloionkoupiivuvvennu×1; jittudakonzuseluajittuonk×1; ukudainygöieiruatalovusne×1
karelian_livvi	psum	#2	5	0.03030	1534669	0.0	0	0	0	0.000	
karelian_livvi	psum	#2+	7	0.03030	1534666	0.0	0	0	0	0.000	
karelian_livvi	psum	#S	6	0.03030	1534668	0.0	0	0	0	0.000	
karelian_livvi	psum	#F	5	0.03030	1534680	0.0	0	0	0	0.000	
karelian_livvi	psum	#M	3	0.03030	1534690	42.7	51	44	6	1.194	anopastuj×9; spromhouz×8; enopastuj×7; onopastuj×5; inopastuj×3
karelian_livvi	psum	#M-	2	0.03030	1534691	1409.3	1916	1852	765	1.360	svuongri×304; anopastu×32; enopastu×30; kekoilli×19; npiirika×18
karelian_livvi	psum	#3	3	0.03030	1534687	42.7	55	38	10	1.288	bailijatläht×4; lkyliämyötem×4; tizenteourie×2; daharvinazih×2; ruinvahnembi×2
karelian_livvi	psum	#3+	4	0.03030	1534684	1.3	0	0	0	0.000	
karelian_livvi	psum	#4	2	0.03030	1534685	1409.3	1536	1497	75	1.090	vvostotazavald×14; joitunnuheskil×8; kuudunevvostol×7; ionispuanielai×6; uuzijyškyjärvi×5
karelian_livvi	bigram:1	#1	5	0.00578	1534680	0.0	0	0	0	0.000	
karelian_livvi	bigram:1	#C0	6	0.00578	1534674	0.0	0	0	0	0.000	
karelian_livvi	bigram:1	#C1	6	0.00578	1534672	0.0	0	0	0	0.000	
karelian_livvi	bigram:1	#2-	3	0.00578	1534673	0.3	0	0	0	0.000	
karelian_livvi	bigram:1	#2	5	0.00578	1534668	0.0	0	0	0	0.000	
karelian_livvi	bigram:1	#2+	7	0.00578	1534665	0.0	0	0	0	0.000	
karelian_livvi	bigram:1	#S	6	0.00578	1534667	0.0	0	0	0	0.000	
karelian_livvi	bigram:1	#F	5	0.00578	1534679	0.0	0	0	0	0.000	
karelian_livvi	bigram:1	#M	3	0.00578	1534689	0.3	1	1	0	3.380	pariaripar×1
karelian_livvi	bigram:1	#M-	2	0.00578	1534690	51.2	42	42	34	0.820	nkielienk×5; elenienel×1; ndrabrand×1; evandanev×1; rufosforu×1
karelian_livvi	bigram:1	#3	3	0.00578	1534686	0.3	1	0	0	3.380	ddbdbbdcdbddb×1
karelian_livvi	bigram:1	#3+	4	0.00578	1534683	0.0	0	0	0	0.000	
karelian_livvi	bigram:1	#4	2	0.00578	1534684	51.2	48	45	34	0.937	uadenenpaginlua×2; oisananpolviloi×2; laksesežogrönla×2; nudapappivuonnu×1; isnämämuatyhdis×1
